year,month,day,freq
2018,12,16,1262
2018,11,5,4192
2018,10,31,2578
2018,12,18,2552
2018,12,19,2476
2018,10,9,3038
2018,10,10,1426
2018,10,21,569
2018,10,11,1854
2018,12,20,2276
2018,12,12,2637
2018,12,4,2174
2018,12,29,1751
2018,6,16,1026
2018,6,12,1128
2018,6,15,1172
2018,5,30,867
2018,6,13,1391
2018,6,5,903
2018,7,16,1162
2018,7,10,1387
2018,7,19,3977
2018,6,2,556
2018,5,16,960
2018,6,21,1193
2018,8,8,1204
2018,7,26,1621
2018,12,22,980
2018,12,6,2126
2018,10,7,739
2018,10,4,1242
2018,12,2,1445
2018,10,29,2056
2018,10,28,1420
2018,10,27,1149
2018,11,29,2129
2018,4,18,817
2018,4,19,1225
2018,4,24,660
2018,4,22,371
2018,4,21,283
2018,4,23,1288
2018,5,22,925
2018,4,10,892
2018,4,11,696
2018,5,25,627
2018,6,9,410
2018,6,3,426
2018,4,2,497
2018,6,10,279
2018,4,25,851
2018,5,17,1347
2018,5,19,323
2018,6,1,972
2018,3,15,940
2018,5,9,865
2018,11,14,5823
2018,12,5,1896
2018,11,12,3367
2018,12,31,2394
2018,10,15,1399
2018,10,12,2832
2018,11,21,8875
2018,12,21,1510
2018,10,23,3264
2018,12,30,1057
2018,11,10,2663
2018,10,13,947
2018,12,15,1622
2018,11,1,3428
2018,10,18,3397
2018,11,30,2256
2018,12,1,1149
2018,11,22,5008
2018,10,24,1797
2018,11,20,3443
2018,12,14,2187
2018,11,15,8078
2018,12,24,1840
2018,11,23,4827
2018,11,3,1737
2018,11,13,4704
2018,12,10,1631
2018,10,19,2515
2018,11,24,1402
2018,11,6,2786
2018,10,30,3195
2018,12,13,1658
2018,12,17,4641
2018,11,4,2291
2018,12,8,960
2018,10,26,1342
2018,12,7,1782
2018,10,16,1972
2018,10,8,1039
2018,11,8,3683
2018,11,18,1405
2018,12,9,879
2018,10,17,1518
2018,10,5,2296
2019,1,1,1493
2018,12,27,1470
2018,11,27,2221
2018,10,22,1639
2018,10,20,827
2018,11,7,2610
2018,11,11,2138
2018,10,3,1182
2018,11,9,2857
2018,12,23,1048
2018,5,28,679
2018,6,19,960
2018,5,29,1130
2018,7,5,1218
2018,7,31,1912
2018,6,11,1288
2018,7,6,1941
2018,6,14,2593
2018,8,1,1252
2018,7,20,3047
2018,6,23,564
2018,6,20,1315
2018,8,2,1116
2018,7,4,1366
2018,8,3,1965
2018,5,31,1155
2018,6,8,995
2018,7,24,1241
2018,6,7,971
2018,7,12,1648
2018,7,13,1330
2018,6,29,1104
2018,5,11,624
2018,5,24,1013
2018,6,17,455
2018,7,11,2955
2018,5,12,232
2018,6,25,799
2018,7,2,1091
2018,5,23,1016
2018,6,18,902
2018,7,27,1563
2018,7,30,969
2018,5,15,587
2018,5,7,797
2018,7,23,1129
2018,7,28,543
2018,5,18,1321
2018,6,6,1303
2018,6,26,1065
2018,7,7,1150
2018,6,27,741
2018,6,24,872
2018,7,21,1506
2018,7,14,508
2018,5,10,403
2018,5,21,968
2018,11,28,2080
2018,12,28,1936
2018,10,25,2060
2018,11,16,3574
2018,12,25,1168
2018,10,2,1403
2018,11,2,2260
2018,12,11,1863
2018,12,26,1171
2018,12,3,2499
2018,10,6,1776
2018,11,19,3294
2018,11,26,1846
2018,4,5,522
2018,4,6,485
2018,4,17,782
2018,4,12,1024
2018,7,3,1043
2018,4,13,765
2018,4,29,378
2018,5,4,525
2018,5,3,640
2018,5,5,253
2018,4,16,670
2018,5,13,266
2018,5,1,664
2018,5,6,168
2018,4,7,340
2018,5,27,396
2018,5,2,923
2018,4,8,592
2018,11,25,1446
2018,2,27,846
2018,2,21,671
2018,3,23,806
2018,3,22,894
2018,3,12,913
2018,3,13,555
2018,2,15,1788
2018,3,8,713
2018,3,7,3832
2018,3,9,876
2018,3,19,977
2018,3,21,649
2018,3,10,545
2018,2,28,1129
2018,2,22,1109
2018,3,11,773
2018,2,13,574
2018,2,25,383
2018,3,5,1338
2018,5,14,1025
2018,3,18,378
2018,3,25,381
2018,3,1,1103
2018,4,4,557
2018,3,28,1192
2018,4,14,559
