country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
CA,CI,CH,2017,10,12,lapresse.ca,Des Québécois auraient mangé du saumon transgénique  leur insu ,http://www.lapresse.ca/actualites/201710/11/01-5139709-des-quebecois-auraient-mange-du-saumon-transgenique-a-leur-insu.php,http://images.lpcdn.ca/924x615/201710/11/1482538-entreprise-americaine-aquabounty-eleve-saumons.jpg,French
CA,CI,CH,2017,11,5,news1130.com,Five things to watch for in the Canadian business world in the coming week,http://www.news1130.com/2017/11/05/five-things-to-watch-for-in-the-canadian-business-world-in-the-coming-week-66/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/05/CPT504435225_hd.jpg,English
CA,CI,CH,2017,10,25,langleyadvance.com,B . C . should learn from Norway ’ s example,http://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,http://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CA,CI,CH,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,http://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CA,CI,CH,2017,10,13,rabble.ca,The  Ugly Canadian  is on the march  Trudeau is its new face,http://rabble.ca/blogs/bloggers/yves-englers-blog/2017/10/ugly-canadian-march-trudeau-its-new-face,,English
CA,CI,CH,2017,12,5,680news.com,Peregrine falcon no longer a threatened species after four decades,http://www.680news.com/2017/12/05/peregrine-falcon-no-longer-a-threatened-species-after-four-decades/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/12/05/CPT130441891_hd.jpg,English
CA,CI,CH,2017,12,5,news1130.com,Peregrine falcon no longer a threatened species after four decades,http://www.news1130.com/2017/12/05/peregrine-falcon-no-longer-a-threatened-species-after-four-decades/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/12/05/CPT130441891_hd.jpg,English
CA,CI,CH,2017,11,5,news1130.com,Venezuela opposition leader seeks refuge in Chilean embassy,http://www.news1130.com/2017/11/05/venezuela-opposition-leader-seeks-refuge-in-chilean-embassy/,,English
CA,CI,CH,2017,10,10,kingscountynews.ca,Federal government invests in Centre Burlington sustainable fish farm expansion ,http://www.kingscountynews.ca/business/federal-government-invests-in-centre-burlington-sustainable-fish-farm-expansion-2600/,,English
CA,CI,CH,2017,11,15,thetyee.ca,Lessons in Hope and Resilience From the Tla,https://thetyee.ca/Culture/2017/11/15/Lessons-Hope-Resilience-Tlaoquiaht/,https://thetyee.ca/Culture/2017/11/14/EliEnnisTlaoquiaht.jpg,English
CA,CI,CH,2017,10,11,castanet.net,Huge pipes to move water,http://www.castanet.net/edition/news-story-208837-5-.htm,http://www.castanet.net/content/2017/10/la215-225_2016_223810_p3256111_p3256133.jpg,English
CA,CI,CH,2017,10,11,castanet.net,$5 billion for Puerto Rico,http://www.castanet.net/edition/news-story-208838-5-.htm,http://www.castanet.net/content/2017/10/xre102-109_2017_203848_p3256135_p3256136.jpg,English
CA,CI,CH,2017,10,11,castanet.net,  Disgusted  by Weinstein,http://www.castanet.net/edition/news-story-208839-5-.htm,http://www.castanet.net/content/2017/10/wx104-65_2017_223505_p3256112_p3256137.jpg,English
CA,CI,CH,2017,10,11,castanet.net,Prof . on leave over tweets,http://www.castanet.net/edition/news-story-208842-5-.htm,http://www.castanet.net/content/2017/10/screen_shot_2017-10-10_at_9.13.55_pm_p3256138.jpg,English
CA,CI,CH,2017,10,11,castanet.net,Kim murder was rehearsed,http://www.castanet.net/edition/news-story-208843-5-.htm,http://www.castanet.net/content/2017/10/screen_shot_2017-10-10_at_9.43.31_pm_p3256139.jpg,English
CA,CI,CH,2017,11,5,news1130.com,Regulator rejects Via Rail efforts to limit wheelchair access,http://www.news1130.com/2017/11/05/regulator-rejects-via-rails-efforts-to-limit-wheelchair-access/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/05/CPT510435426_hd.jpg,English
CA,CI,CH,2017,10,11,castanet.net,Shooter timeline questioned,http://www.castanet.net/edition/news-story-208848-5-.htm,http://www.castanet.net/content/2017/10/LA116-103_2017_232814_p3256183.jpg,English
CA,CI,CH,2017,10,11,castanet.net,Trump : demand they stand,http://www.castanet.net/edition/news-story-208874-5-.htm,http://www.castanet.net/content/2017/10/NAS115-108_2017_125851_p3256170.jpg,English
CA,CI,CH,2017,10,11,castanet.net,Dreams reduced to embers,http://www.castanet.net/edition/news-story-208875-5-.htm,http://www.castanet.net/content/2017/10/CAJC119-1010_2017_213909_p3256196.jpg,English
CA,CI,CH,2017,10,12,castanet.net,Trump threatens NBC,http://www.castanet.net/edition/news-story-208919-5-.htm,http://www.castanet.net/content/2017/10/NYBZ322-510_2017_151654_p3256311.jpg,English
CA,CI,CH,2017,10,11,castanet.net,Chance to stop shooter ?,http://www.castanet.net/edition/news-story-208879-5-.htm,http://www.castanet.net/content/2017/10/NVJL208-1010_2017_001033_p3256247.jpg,English
