country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
CA,JA,RS,2017,11,11,biv.com,B . C . forests minister off to China on trade mission ,https://www.biv.com/article/2017/11/bc-forests-minister-china-trade-mission/,http://www.biv.com/media/filer_public/41/a5/41a5d9fe-e936-4625-8c5d-129c0cfbdd8f/wood_products.jpg,English
CA,JA,RS,2017,10,4,asianpacificpost.com,Seafood industry pumps millions into BC economy ,http://www.asianpacificpost.com/article/8101-seafood-industry-pumps-millions-bc-economy.html,,English
CA,JA,RS,2017,11,5,news1130.com,Five things to watch for in the Canadian business world in the coming week,http://www.news1130.com/2017/11/05/five-things-to-watch-for-in-the-canadian-business-world-in-the-coming-week-66/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/05/CPT504435225_hd.jpg,English
CA,JA,RS,2017,10,25,langleyadvance.com,B . C . should learn from Norway ’ s example,http://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,http://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CA,JA,RS,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,http://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CA,JA,RS,2017,10,6,680news.com,Miramichi River now ground zero for research into declining salmon population,http://www.680news.com/2017/10/06/miramichi-river-now-ground-zero-for-research-into-declining-salmon-population/,,English
CA,JA,RS,2017,12,9,680news.com,The Friday news briefing : An at,http://www.680news.com/2017/12/08/the-friday-news-briefing-an-at-a-glance-survey-of-some-top-stories-62/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/12/08/NSD119442677_hd.jpg,English
CA,JA,RS,2017,12,9,news1130.com,The Friday news briefing : An at,http://www.news1130.com/2017/12/08/the-friday-news-briefing-an-at-a-glance-survey-of-some-top-stories-64/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/12/08/NSD119442677_hd.jpg,English
CA,JA,RS,2017,11,5,680news.com,Insider Q & A : Market stability in uncertain times,http://www.680news.com/2017/11/05/insider-qa-market-stability-in-uncertain-times/,,English
CA,JA,RS,2017,11,5,680news.com,Trump Asia trip presents a crucial international test,http://www.680news.com/2017/11/04/trumps-asia-trip-presents-a-crucial-international-test/,,English
CA,JA,RS,2017,11,5,news1130.com,Regulator rejects Via Rail efforts to limit wheelchair access,http://www.news1130.com/2017/11/05/regulator-rejects-via-rails-efforts-to-limit-wheelchair-access/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/05/CPT510435426_hd.jpg,English
CA,JA,RS,2017,12,9,theglobeandmail.com,Top new Vancouver restaurants of 2017,https://www.theglobeandmail.com/life/food-and-wine/restaurant-reviews/top-new-vancouver-restaurants-of2017/article37275353/,https://www.theglobeandmail.com/resizer/ho5lQ_DA1guK_X1Ajy92B6HXG1Y=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/R6FJ5ZO7TBCNDDO5QLCLRUCSYQ.JPG,English
