country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
CA,NO,RS,2017,10,14,merrittherald.com,B . C . salmon farm value growing rapidly,http://www.merrittherald.com/b-c-salmon-farm-value-growing-rapidly/,,English
CA,NO,RS,2017,10,25,langleyadvance.com,B . C . should learn from Norway ’ s example,http://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,http://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CA,NO,RS,2017,10,12,westerlynews.ca,B . C . salmon farm value growing rapidly,http://www.westerlynews.ca/business/b-c-salmon-farm-value-growing-rapidly/,http://www.westerlynews.ca/wp-content/uploads/2017/10/8908175_web1_20171012-BPD-aquaculture-growth-MNP.jpg,English
CA,NO,RS,2017,10,12,langleyadvance.com,B . C . salmon farm value growing rapidly,http://www.langleyadvance.com/business/b-c-salmon-farm-value-growing-rapidly/,http://www.langleyadvance.com/wp-content/uploads/2017/10/8908175_web1_20171012-BPD-aquaculture-growth-MNP.jpg,English
CA,NO,RS,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,http://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CA,NO,RS,2017,11,9,timescolonist.com,Government is right to investigate fish lab,http://www.timescolonist.com/opinion/letters/government-is-right-to-investigate-fish-lab-1.23089020,,English
CA,NO,RS,2017,10,5,pentictonherald.ca,No wild Atlantic salmon found in N . B . river  conservation group says ,http://www.pentictonherald.ca/news/national_news/article_3b51aa05-3fab-55ad-b49e-bb04fce234bf.html,https://bloximages.newyork1.vip.townnews.com/pentictonherald.ca/content/tncms/custom/image/580620b2-214c-11e7-a0a7-e318d9632e72.jpg?_dc=1492199743,English
CA,NO,RS,2017,10,10,kingscountynews.ca,Federal government invests in Centre Burlington sustainable fish farm expansion ,http://www.kingscountynews.ca/business/federal-government-invests-in-centre-burlington-sustainable-fish-farm-expansion-2600/,,English
CA,NO,RS,2017,12,8,news1130.com,Toronto  Seattle mayors make friendly wager over MLS Cup game,http://www.news1130.com/2017/12/08/toronto-seattle-mayors-make-friendly-wager-over-mls-cup-game/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/12/08/CPT106442616_hd.jpg,English
CA,NO,RS,2017,12,8,680news.com,Toronto  Seattle mayors make friendly wager over MLS Cup game,http://www.680news.com/2017/12/08/toronto-seattle-mayors-make-friendly-wager-over-mls-cup-game/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/12/08/CPT106442616_hd.jpg,English
CA,NO,RS,2017,12,14,merrittherald.com,Centennials win two of three ; move into sixth place,http://www.merrittherald.com/centennials-win-two-three-move-sixth-place/,,English
CA,NO,RS,2017,11,14,nationalobserver.com,First Nations cast line  wait for B . C . government to bite,https://www.nationalobserver.com/2017/08/31/first-nations-cast-line-wait-bc-government-bite,https://www.nationalobserver.com/sites/nationalobserver.com/files/img/2017/08/28/headerphoto_1280x853.jpg,English
CA,NO,RS,2017,11,15,thetyee.ca,Lessons in Hope and Resilience From the Tla,https://thetyee.ca/Culture/2017/11/15/Lessons-Hope-Resilience-Tlaoquiaht/,https://thetyee.ca/Culture/2017/11/14/EliEnnisTlaoquiaht.jpg,English
CA,NO,RS,2017,11,3,nationalobserver.com,An Indigenous sisterhood empowers solar panel solutions,https://www.nationalobserver.com/2017/11/03/indigenous-sisterhood-empowers-solar-panel-solutions,,English
CA,NO,RS,2017,11,5,680news.com,Jagmeet Singh wants opioid addiction declared a national crisis,http://www.680news.com/2017/11/04/jagmeet-singh-wants-opioid-addiction-declared-national-crisis/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/11/17817561.jpg,English
CA,NO,RS,2017,11,4,news1130.com,KHL may pull out of Olympics over Russia doping cases  could affect Team Canada,http://www.news1130.com/2017/11/04/khl-could-pull-out-of-olympics-over-russia-doping-cases/,,English
CA,NO,RS,2017,11,5,news1130.com,Port Angeles residents replace Canadian teen stolen shoes,http://www.news1130.com/2017/11/05/port-angeles-residents-replace-canadian-teens-stolen-shoes/,,English
CA,NO,RS,2017,11,4,680news.com,Cities raise concerns over coffee pod waste,http://www.680news.com/2017/11/03/cities-raise-concerns-coffee-pod-waste/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/11/CHY202435079_hd.jpg,English
CA,NO,RS,2017,11,5,680news.com,Belgium hopes to act on warrant for hiding Catalan leader,http://www.680news.com/2017/11/04/ex-catalan-leader-angling-to-stay-out-of-spanish-justice/,,English
CA,NO,RS,2017,11,5,680news.com,Trump Asia trip presents a crucial international test,http://www.680news.com/2017/11/04/trumps-asia-trip-presents-a-crucial-international-test/,,English
