country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
CH,CA,CH,2017,10,16,foodnavigator-asia.com,Norway urges Beijing to set aside Nobel anger for the sake of salmon exports,https://www.foodnavigator-asia.com/Article/2017/10/16/Norway-urges-Beijing-to-set-aside-Nobel-anger-for-the-sake-of-salmon-exports,https://cdn-a.william-reed.com/var/wrbm_gb_food_pharma/storage/images/publications/food-beverage-nutrition/foodnavigator-asia.com/headlines/business/norway-urges-beijing-to-set-aside-nobel-anger-for-the-sake-of-salmon-exports/7434244-1-eng-GB/Norway-urges-Beijing-to-set-aside-Nobel-anger-for-the-sake-of-salmon-exports.jpg,English
CH,CA,CH,2017,10,6,rfa.org,미  북 노동자가 가공한 해산물 등 수입 금지  ,http://www.rfa.org/korean/in_focus/food_international_org/sanctionnk-10062017162124.html,http://www.rfa.org/korean/in_focus/food_international_org/fishing-10092015102528.html/rason_fish_b.jpg,Korean
CH,CA,CH,2017,11,2,fj.sina.com.cn,今年以来厦门口岸冰鲜水产品进出口量翻倍增长 _ 新浪福建 _ 新浪网,http://fj.sina.com.cn/news/s/2017-11-02/detail-ifynnnsc3806926.shtml,http://n.sinaimg.cn/fj/transform/20171102/E7MX-fynnnsc3806872.jpg,Chinese
CH,CA,CH,2017,10,5,scmp.com,North Korean workers prep seafood in China that goes to US stores  restaurants,http://www.scmp.com/news/china/diplomacy-defence/article/2114123/north-korean-workers-prep-seafood-china-goes-us-stores,https://cdn1.i-scmp.com/sites/default/files/styles/620x356/public/images/methode/2017/10/05/97c8b5ec-a988-11e7-ac3e-6a4e39b7ad7c_image_hires_155037.jpg?itok=pjAESJLU,English
CH,CA,CH,2017,11,16,finance.southcn.com,2017年舌尖上的 拿大暨电商美食节 _ 财富资讯 _ 南方网,http://finance.southcn.com/cfzx/content/2017-11/16/content_178889266.htm,http://www.southcn.com/public/2016/img/nfw-cover.jpg,Chinese
CH,CA,CH,2017,11,1,sc.ifeng.com,四川新建8个进境指定口岸 吃到 拿大象拔蚌只等一天 _ 凤凰网四川频道 _ 凤凰网,http://sc.ifeng.com/a/20171031/6110489_0.shtml,http://p0.ifengimg.com/a/2017_44/9b42285709a34d6_size341_w540_h377.png,Chinese
CH,CA,CH,2017,10,5,aboluowang.com,美联社 ： 美国人买中国海鲜  意中资助北韩,http://www.aboluowang.com/2017/1006/1004435.html,,Chinese
CH,CA,CH,2017,12,9,city.udn.com,大陸 、 澳洲 今簽自貿協定,http://city.udn.com/54543/5239373?raid=5735276,,Chinese
CH,CA,CH,2017,11,24,worldjournal.com,源日本料理美食評價高,http://www.worldjournal.com/5293757/article-%E6%BA%90%E6%97%A5%E6%9C%AC%E6%96%99%E7%90%86%E7%BE%8E%E9%A3%9F%E8%A9%95%E5%83%B9%E9%AB%98/,,Chinese
CH,CA,CH,2017,12,6,donews.com,东哥很忙 ！ 吃货们有福了 更多 拿大海产品将登陆京东,http://www.donews.com/news/detail/4/2978022.html,,Chinese
