country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
CH,NO,CA,2017,12,4,e24.no,Kina setter fart på lakseimporten fra Norge,https://e24.no/naeringsliv/kina/kina-setter-fart-paa-lakseimporten-fra-norge/24202122,https://imbo.vgc.no/users/e24/images/2b4e8a9f514d374bc0036dbc1e4e01b2?t[0]=crop:width=2048,height=1152,x=0,y=128&t[1]=maxSize:width=990&t[2]=resize:width=990&accessToken=b79d4bdfa799473ebeeea4eb1f2afab03b96b327c6c920db484c65e186748b91,Norwegian
CH,NO,CA,2017,12,4,hegnar.no,Kina setter fart på lakseimporten fra Norge,http://www.hegnar.no/Nyheter/Naeringsliv/2017/12/Kina-setter-fart-paa-lakseimporten-fra-Norge,http://www.hegnar.no/var/hegnar/storage/images/media/images/laks-ntb-scanpix2/15169180-1-nor-NO/Laks-NTB-Scanpix_full_article.jpg,Norwegian
CH,NO,CA,2017,12,4,smp.no,Kina setter fart på lakseimporten fra Norge,http://www.smp.no/nyheter/2017/12/04/Kina-setter-fart-p%C3%A5-lakseimporten-fra-Norge-15698466.ece,http://www.smp.no/incoming/article10282203.ece/niucva/ALTERNATES/w980-default/high_szb94191.jpg,Norwegian
CH,NO,CA,2017,12,4,sysla.no,Kina setter fart på lakseimporten fra Norge,https://sysla.no/fisk/kina-setter-fart-pa-lakseimporten-fra-norge/,https://img1.sysla.no/wp-content/uploads/2017/05/22163900/laks7-1200x720.jpg,Norwegian
CH,NO,CA,2017,12,4,vol.no,Kina setter fart på lakseimporten fra Norge,http://www.vol.no/nyheter/2017/12/04/Kina-setter-fart-p%C3%A5-lakseimporten-fra-Norge-15698427.ece,http://www.vol.no/incoming/article14396817.ece/pevnf9/ALTERNATES/w980-default/laks.jpg,Norwegian
CH,NO,CA,2017,10,19,intrafish.no,393 selskaper kan bli godkjent for Kina,http://www.intrafish.no/nyheter/1367174/393-selskaper-kan-bli-godkjent-for-kina,http://www.intrafish.no/nyheter/article1367181.ece5/ALTERNATES/LANDSCAPE_600/272957fc5e8af98ab51938ca38cd7be2,Norwegian
CH,NO,CA,2017,12,6,ht.no,Kina halverer fisketollen,http://www.ht.no/ntb/innenriks/2017/12/06/Kina-halverer-fisketollen-15714399.ece,,Norwegian
CH,NO,CA,2017,12,6,adressa.no,Kina halverer fisketollen,http://www.adressa.no/nyheter/innenriks/2017/12/06/Kina-halverer-fisketollen-15714395.ece,,Norwegian
CH,NO,CA,2017,12,7,vol.no,Kina halverer fisketollen,http://www.vol.no/nyheter/2017/12/07/Kina-halverer-fisketollen-15717032.ece,http://www.vol.no/incoming/article14588024.ece/2ira84/ALTERNATES/w980-default/Laks,Norwegian
CH,NO,CA,2017,12,6,nettavisen.no,Kina halverer fisketollen,https://www.nettavisen.no/na24/kina-halverer-fisketollen/3423396148.html,https://drp-images.nettavisen.no/images/article/2017/12/06/3423396150/1/w1024/4499788.jpg,Norwegian
