country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
CH,US,CA,2017,10,6,medicinehatnews.com,US Customs vows to block imports made by North Korea workers › Medicine Hat News,http://medicinehatnews.com/business/2017/10/06/us-customs-vows-to-block-imports-made-by-north-korea-workers/,,English
CH,US,CA,2017,10,6,globalnews.ca,US Customs vows to block imports made by North Korean workers,https://globalnews.ca/news/3789238/north-korean-products-us-customs/,https://shawglobalnews.files.wordpress.com/2017/10/republicofkim3.jpg?quality=70&strip=all&crop=1,English
CH,US,CA,2017,10,6,business.financialpost.com,US Customs vows to block imports made by North Korea workers,http://business.financialpost.com/pmn/business-pmn/us-customs-vows-to-block-imports-made-by-north-korea-workers,https://financialpostcom.files.wordpress.com/2017/10/ny809-ap.jpg,English
CH,US,CA,2017,10,6,leaderpost.com,US Customs vows to block imports made by North Korea workers,http://leaderpost.com/pmn/news-pmn/us-customs-vows-to-block-imports-made-by-north-korea-workers/wcm/fc91b69b-40bf-47c4-a3e7-dcae58a2f41c,https://nationalpostcom.files.wordpress.com/2017/10/ny809-ap.jpg,English
CH,US,CA,2017,10,6,nationalpost.com,US Customs vows to block imports made by North Korea workers,http://nationalpost.com/pmn/news-pmn/us-customs-vows-to-block-imports-made-by-north-korea-workers,https://nationalpostcom.files.wordpress.com/2017/10/ny809-ap.jpg,English
CH,US,CA,2017,10,6,montrealgazette.com,US Customs vows to block imports made by North Korea workers,http://montrealgazette.com/pmn/news-pmn/us-customs-vows-to-block-imports-made-by-north-korea-workers/wcm/fc91b69b-40bf-47c4-a3e7-dcae58a2f41c,https://nationalpostcom.files.wordpress.com/2017/10/ny809-ap.jpg,English
CH,US,CA,2017,10,6,vancouversun.com,U . S . Customs vows to block imports made by North Korea workers,http://vancouversun.com/pmn/news-pmn/us-customs-vows-to-block-imports-made-by-north-korea-workers/wcm/a67d0cc8-e9c1-4282-9f22-5ab91e7802f6,https://postmediavancouversun2.files.wordpress.com/2017/10/ny809-ap.jpg,English
CH,US,CA,2017,10,6,timescolonist.com,US Customs vows to block imports made by North Korea workers,http://www.timescolonist.com/us-customs-vows-to-block-imports-made-by-north-korea-workers-1.23057719,http://images.glaciermedia.ca/polopoly_fs/1.23057720.1507294293!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/ny809-831-2017-103317-jpg.jpg,English
CH,US,CA,2017,10,6,thechronicleherald.ca,US Customs vows to block imports made by North Korea workers,http://thechronicleherald.ca/business/1509508-us-customs-vows-to-block-imports-made-by-north-korea-workers,http://thechronicleherald.ca/sites/default/files/imagecache/ch_og_article_main_image/articles/NY806-95_2017_052347_1.jpg,English
CH,US,CA,2017,10,6,infotel.ca,US Customs vows to block imports made by North Korea workers,http://infotel.ca/newsitem/as-republic-of-kim-unenforced-sanctions/cp937681284,http://infotel.ca/images/news/cp/photos/ny806-95_2017_052347.jpg,English
CH,US,CA,2017,10,6,lethbridgeherald.com,US Customs vows to block imports made by North Korea workers,http://lethbridgeherald.com/business/2017/10/06/us-customs-vows-to-block-imports-made-by-north-korea-workers/,,English
CH,US,CA,2017,10,6,news1130.com,US Customs vows to block imports made by North Korea workers,http://www.news1130.com/2017/10/06/us-customs-vows-to-block-imports-made-by-north-korea-workers/,,English
CH,US,CA,2017,10,6,680news.com,US Customs vows to block imports made by North Korea workers,http://www.680news.com/2017/10/06/us-customs-vows-to-block-imports-made-by-north-korea-workers/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/10/06/NY806-95_2017_052347_hd.jpg,English
CH,US,CA,2017,11,11,biv.com,B . C . forests minister off to China on trade mission ,https://www.biv.com/article/2017/11/bc-forests-minister-china-trade-mission/,http://www.biv.com/media/filer_public/41/a5/41a5d9fe-e936-4625-8c5d-129c0cfbdd8f/wood_products.jpg,English
CH,US,CA,2017,10,4,thestar.com,How Americans buying salmon at Walmart may be funding North Korea nuclear program : Investigation,https://www.thestar.com/news/world/2017/10/04/how-americans-buying-salmon-at-walmart-may-be-funding-north-koreas-nuclear-program-investigation.html,https://www.thestar.com/content/dam/thestar/news/world/2017/10/04/how-americans-buying-salmon-at-walmart-may-be-funding-north-koreas-nuclear-program-investigation/dark_windows.jpg,English
CH,US,CA,2017,10,5,nationalpost.com,North Koreans process salmon , snow crab eaten in US , Europe,http://nationalpost.com/pmn/news-pmn/north-koreans-process-salmon-snow-crab-eaten-in-us-europe,,English
CH,US,CA,2017,10,5,ottawacitizen.com,By eating salmon , did Americans fund North Korea ’ s nuclear program ? ,http://ottawacitizen.com/pmn/news-pmn/north-korean-workers-prepare-seafood-going-to-us-stores/wcm/3a0d6a9d-7b07-49d5-b242-2f6c566cccb5,https://postmediaottawacitizen2.files.wordpress.com/2017/10/endangered-species-fight.jpg,English
CH,US,CA,2017,10,5,nationalpost.com,North Koreans process salmon , snow crab eaten in US , Europe,http://nationalpost.com/pmn/news-pmn/north-korean-workers-prepare-seafood-going-to-us-stores,,English
CH,US,CA,2017,10,4,lethbridgeherald.com,NKorean workers prepare seafood for US stores , restaurants,http://lethbridgeherald.com/business/2017/10/04/nkorean-workers-prepare-seafood-for-us-stores-restaurants/,,English
CH,US,CA,2017,10,5,thechronicleherald.ca,Nuclear,http://thechronicleherald.ca/world/1508950-nuclear-armed-north-korea-profits-from-us-eu-seafood-sales,http://thechronicleherald.ca/sites/default/files/imagecache/ch_og_article_main_image/articles/NY815-831_2017_114559_4.jpg,English
CH,US,CA,2017,10,5,thechronicleherald.ca,Americans may eat seafood processed by North Korean workers,http://thechronicleherald.ca/world/1508950-americans-may-eat-seafood-processed-by-north-korean-workers,http://thechronicleherald.ca/sites/default/files/imagecache/ch_og_article_main_image/articles/NY815-831_2017_114559_2.jpg,English
CH,US,CA,2017,10,4,timescolonist.com,NKorean workers prepare seafood for US stores , restaurants,http://www.timescolonist.com/nkorean-workers-prepare-seafood-for-us-stores-restaurants-1.23055843,http://images.glaciermedia.ca/polopoly_fs/1.23055844.1507144903!/fileImage/httpImage/image.jpg_gen/derivatives/facebookogimage_560_292/ny802-92-2017-084516-jpg.jpg,English
CH,US,CA,2017,10,4,infotel.ca,NKorean workers prepare seafood for US stores , restaurants,http://infotel.ca/newsitem/as-republic-of-kim-the-us-connection/cp427139301,http://infotel.ca/images/news/cp/photos/ny815-831_2017_114559.jpg,English
CH,US,CA,2017,10,4,thestarphoenix.com,NKorean workers prepare seafood for US stores , restaurants,http://thestarphoenix.com/pmn/news-pmn/nkorean-workers-prepare-seafood-for-us-stores-restaurants/wcm/cedb3209-87c8-4db6-89f8-d93624c41e15,https://nationalpostcom.files.wordpress.com/2017/10/ny814-ap.jpg,English
CH,US,CA,2017,10,4,montrealgazette.com,NKorean workers prepare seafood for US stores , restaurants,http://montrealgazette.com/pmn/news-pmn/nkorean-workers-prepare-seafood-for-us-stores-restaurants/wcm/cedb3209-87c8-4db6-89f8-d93624c41e15,https://nationalpostcom.files.wordpress.com/2017/10/ny814-ap.jpg,English
CH,US,CA,2017,10,4,leaderpost.com,NKorean workers prepare seafood for US stores , restaurants,http://leaderpost.com/pmn/news-pmn/nkorean-workers-prepare-seafood-for-us-stores-restaurants/wcm/cedb3209-87c8-4db6-89f8-d93624c41e15,https://nationalpostcom.files.wordpress.com/2017/10/ny814-ap.jpg,English
CH,US,CA,2017,10,4,medicinehatnews.com,NKorean workers prepare seafood for US stores , restaurants › Medicine Hat News,http://medicinehatnews.com/business/2017/10/04/nkorean-workers-prepare-seafood-for-us-stores-restaurants/,,English
CH,US,CA,2017,10,4,globalnews.ca,Americans , Canadians buying products made by North Koreans and inadvertently propping up Kim regime,https://globalnews.ca/news/3785838/north-korean-products-us-canada-support-kim/,https://shawglobalnews.files.wordpress.com/2017/10/republicofkim5.jpg?quality=70&strip=all&crop=1,English
CH,US,CA,2017,10,4,theprovince.com,NKorean workers prepare seafood for US stores , restaurants,http://www.theprovince.com/business/nkorean+workers+prepare+seafood+stores+restaurants/14986307/story.html,http://www.theprovince.com/cms/binary/14986308.jpg,English
CH,US,CA,2017,10,5,nationalpost.com,NKorean workers prep seafood going to US stores , restaurants,http://nationalpost.com/pmn/news-pmn/nkorean-workers-prepare-seafood-for-us-stores-restaurants,https://nationalpostcom.files.wordpress.com/2017/10/ny814-ap.jpg,English
CH,US,CA,2017,10,4,news1130.com,NKorean workers prepare seafood for US stores , restaurants,http://www.news1130.com/2017/10/04/nkorean-workers-prepare-seafood-for-us-stores-restaurants/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/10/04/NY815-831_2017_114559_hd.jpg,English
