country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
CI,JA,CH,2017,10,25,langleyadvance.com,B . C . should learn from Norway ’ s example,http://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,http://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,JA,CH,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,http://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,JA,CH,2017,11,5,news1130.com,Five things to watch for in the Canadian business world in the coming week,http://www.news1130.com/2017/11/05/five-things-to-watch-for-in-the-canadian-business-world-in-the-coming-week-66/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/05/CPT504435225_hd.jpg,English
CI,JA,CH,2017,10,25,langleyadvance.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,https://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,JA,CH,2017,10,25,cowichanvalleycitizen.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.cowichanvalleycitizen.com/opinion/b-c-should-learn-from-norways-example/,http://www.cowichanvalleycitizen.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,JA,CH,2017,10,25,columbiavalleypioneer.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.columbiavalleypioneer.com/opinion/b-c-should-learn-from-norways-example/,https://www.columbiavalleypioneer.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,JA,CH,2017,10,25,columbiavalleypioneer.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.columbiavalleypioneer.com/opinion/b-c-should-learn-from-norways-example/,http://www.columbiavalleypioneer.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,JA,CH,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,https://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,JA,CH,2017,10,25,cowichanvalleycitizen.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.cowichanvalleycitizen.com/opinion/b-c-should-learn-from-norways-example/,https://www.cowichanvalleycitizen.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,JA,CH,2017,11,5,news1130.com,Tom Hanks helps with marriage proposal at book festival,http://www.news1130.com/2017/11/05/tom-hanks-helps-with-marriage-proposal-at-book-festival/,,English
CI,JA,CH,2017,11,5,news1130.com,Auction house says $700k sale for Prince guitar a record,http://www.news1130.com/2017/11/05/auction-house-says-700k-sale-for-princes-guitar-a-record/,,English
CI,JA,CH,2017,11,5,news1130.com,Parole board denies early release for mom of slain toddler,http://www.news1130.com/2017/11/05/parole-board-denies-early-release-for-mom-of-slain-toddler/,,English
CI,JA,CH,2017,11,5,news1130.com,  Thor : Ragnarok  rumbles to $121M box,http://www.news1130.com/2017/11/05/thor-ragnarok-rumbles-to-121m-box-office-debut/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/05/NYET522-1019_2017_152956_hd.jpg,English
CI,JA,CH,2017,11,5,news1130.com,We dont need it  but too late to turn back now : expert on Site C,http://www.news1130.com/2017/11/05/dont-need-late-turn-back-now-expert-site-c/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/09/13/Site-C-Dam.png,English
CI,JA,CH,2017,11,5,news1130.com,Regulator rejects Via Rail efforts to limit wheelchair access,http://www.news1130.com/2017/11/05/regulator-rejects-via-rails-efforts-to-limit-wheelchair-access/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/05/CPT510435426_hd.jpg,English
