country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
CI,NO,CA,2017,10,25,langleyadvance.com,B . C . should learn from Norway ’ s example,http://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,http://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,NO,CA,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,http://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,NO,CA,2017,10,25,langleyadvance.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,https://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,NO,CA,2017,10,25,cowichanvalleycitizen.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.cowichanvalleycitizen.com/opinion/b-c-should-learn-from-norways-example/,http://www.cowichanvalleycitizen.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,NO,CA,2017,10,25,columbiavalleypioneer.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.columbiavalleypioneer.com/opinion/b-c-should-learn-from-norways-example/,https://www.columbiavalleypioneer.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,NO,CA,2017,10,25,columbiavalleypioneer.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.columbiavalleypioneer.com/opinion/b-c-should-learn-from-norways-example/,http://www.columbiavalleypioneer.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,NO,CA,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,https://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,NO,CA,2017,10,25,cowichanvalleycitizen.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.cowichanvalleycitizen.com/opinion/b-c-should-learn-from-norways-example/,https://www.cowichanvalleycitizen.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
CI,NO,CA,2017,10,10,kingscountynews.ca,Federal government invests in Centre Burlington sustainable fish farm expansion ,http://www.kingscountynews.ca/business/federal-government-invests-in-centre-burlington-sustainable-fish-farm-expansion-2600/,,English
CI,NO,CA,2017,11,15,thetyee.ca,Lessons in Hope and Resilience From the Tla,https://thetyee.ca/Culture/2017/11/15/Lessons-Hope-Resilience-Tlaoquiaht/,https://thetyee.ca/Culture/2017/11/14/EliEnnisTlaoquiaht.jpg,English
