country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
JA,RS,RS,2017,11,17,rosbalt.ru,Нашу рыбу съели японцы,http://www.rosbalt.ru/moscow/2017/11/11/1659914.html,http://img.rosbalt.ru/photobank/d/f/7/d/Mfw7pqFZ-800.jpg,Russian
JA,RS,RS,2017,11,3,perm.kp.ru, оссия покупает за границей собственную рыбу,https://www.perm.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,ufa.kp.ru, оссия покупает за границей собственную рыбу,https://www.ufa.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,irk.kp.ru, оссия покупает за границей собственную рыбу,https://www.irk.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,saratov.kp.ru, оссия покупает за границей собственную рыбу,https://www.saratov.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,tumen.kp.ru, оссия покупает за границей собственную рыбу,https://www.tumen.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,yar.kp.ru, оссия покупает за границей собственную рыбу,https://www.yar.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,kirov.kp.ru, оссия покупает за границей собственную рыбу,https://www.kirov.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,vrn.kp.ru, оссия покупает за границей собственную рыбу,https://www.vrn.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,volgograd.kp.ru, оссия покупает за границей собственную рыбу,https://www.volgograd.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,dv.kp.ru, оссия покупает за границей собственную рыбу,https://www.dv.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,3,nsk.kp.ru, оссия покупает за границей собственную рыбу,https://www.nsk.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,alt.kp.ru, оссия покупает за границей собственную рыбу,https://www.alt.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,tver.kp.ru, оссия покупает за границей собственную рыбу,https://www.tver.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,izh.kp.ru, оссия покупает за границей собственную рыбу,https://www.izh.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,krsk.kp.ru, оссия покупает за границей собственную рыбу,https://www.krsk.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,nnov.kp.ru, оссия покупает за границей собственную рыбу,https://www.nnov.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,ural.kp.ru, оссия покупает за границей собственную рыбу,https://www.ural.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,kp.ru, оссия покупает за границей собственную рыбу,https://www.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,kazan.kp.ru, оссия покупает за границей собственную рыбу,https://www.kazan.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,rostov.kp.ru, оссия покупает за границей собственную рыбу,https://www.rostov.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,murmansk.kp.ru, оссия покупает за границей собственную рыбу,https://www.murmansk.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,pskov.kp.ru, оссия покупает за границей собственную рыбу,https://www.pskov.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,tula.kp.ru, оссия покупает за границей собственную рыбу,https://www.tula.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,stav.kp.ru, оссия покупает за границей собственную рыбу,https://www.stav.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,hab.kp.ru, оссия покупает за границей собственную рыбу,https://www.hab.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,amur.kp.ru, оссия покупает за границей собственную рыбу,https://www.amur.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,kaliningrad.kp.ru, оссия покупает за границей собственную рыбу,https://www.kaliningrad.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,penza.kp.ru, оссия покупает за границей собственную рыбу,https://www.penza.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,spb.kp.ru, оссия покупает за границей собственную рыбу,https://www.spb.kp.ru/daily/26752/3782124/,,Russian
JA,RS,RS,2017,11,2,chel.kp.ru, оссия покупает за границей собственную рыбу,https://www.chel.kp.ru/daily/26752/3782124/,,Russian
