country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
NO,RS,CA,2017,10,25,langleyadvance.com,B . C . should learn from Norway ’ s example,http://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,http://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
NO,RS,CA,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,http://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
NO,RS,CA,2017,10,25,langleyadvance.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,https://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
NO,RS,CA,2017,10,25,cowichanvalleycitizen.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.cowichanvalleycitizen.com/opinion/b-c-should-learn-from-norways-example/,http://www.cowichanvalleycitizen.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
NO,RS,CA,2017,10,25,columbiavalleypioneer.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.columbiavalleypioneer.com/opinion/b-c-should-learn-from-norways-example/,https://www.columbiavalleypioneer.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
NO,RS,CA,2017,10,25,columbiavalleypioneer.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.columbiavalleypioneer.com/opinion/b-c-should-learn-from-norways-example/,http://www.columbiavalleypioneer.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
NO,RS,CA,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,https://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
NO,RS,CA,2017,10,25,cowichanvalleycitizen.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.cowichanvalleycitizen.com/opinion/b-c-should-learn-from-norways-example/,https://www.cowichanvalleycitizen.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
NO,RS,CA,2017,11,4,news1130.com,KHL may pull out of Olympics over Russia doping cases  could affect Team Canada,http://www.news1130.com/2017/11/04/khl-could-pull-out-of-olympics-over-russia-doping-cases/,,English
NO,RS,CA,2017,11,5,news1130.com,Two winning tickets for Saturday night $7 million Lotto 649 jackpot,http://www.news1130.com/2017/11/05/two-winning-tickets-for-saturday-nights-7-million-lotto-649-jackpot/,,English
NO,RS,CA,2017,11,5,news1130.com,Neighbours upset over location of modular housing planned for Marpole,http://www.news1130.com/2017/11/04/neighbours-upset-location-modular-housing-planned-marpole/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/04/59th-and-heather.png,English
NO,RS,CA,2017,11,4,680news.com,US official : Rohingya should be returned safely to Myanmar,http://www.680news.com/2017/11/04/us-official-rohingya-should-be-returned-safely-to-myanmar/,,English
NO,RS,CA,2017,11,14,nationalobserver.com,First Nations cast line  wait for B . C . government to bite,https://www.nationalobserver.com/2017/08/31/first-nations-cast-line-wait-bc-government-bite,https://www.nationalobserver.com/sites/nationalobserver.com/files/img/2017/08/28/headerphoto_1280x853.jpg,English
NO,RS,CA,2017,11,5,680news.com,Jagmeet Singh wants opioid addiction declared a national crisis,http://www.680news.com/2017/11/04/jagmeet-singh-wants-opioid-addiction-declared-national-crisis/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/11/17817561.jpg,English
NO,RS,CA,2017,11,5,680news.com,Trump Asia trip presents a crucial international test,http://www.680news.com/2017/11/04/trumps-asia-trip-presents-a-crucial-international-test/,,English
NO,RS,CA,2017,11,4,680news.com,Trump Asia trip presents a crucial international test,http://www.680news.com/2017/11/04/trumps-asia-trip-presents-crucial-international-test/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/11/17812458.jpg,English
NO,RS,CA,2017,11,4,680news.com,U . S . cell phone giants Sprint  T,http://www.680news.com/2017/11/04/u-s-cell-phone-giants-sprint-t-mobile-end-merger-talks/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/11/sprint.jpg,English
NO,RS,CA,2017,11,5,news1130.com,Port Angeles residents replace Canadian teen stolen shoes,http://www.news1130.com/2017/11/05/port-angeles-residents-replace-canadian-teens-stolen-shoes/,,English
NO,RS,CA,2017,11,4,news1130.com,Trump Asia trip presents a crucial international test,http://www.news1130.com/2017/11/04/trumps-asia-trip-presents-a-crucial-international-test/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/04/HIAH103-114_2017_181253_hd.jpg,English
NO,RS,CA,2017,11,4,680news.com,Last homesteader tractor almost ready in Nebraska,http://www.680news.com/2017/11/04/last-homesteaders-tractor-almost-ready-in-nebraska/,,English
NO,RS,CA,2017,11,5,news1130.com,AP News in Brief at 12 : 04 a . m . EDT,http://www.news1130.com/2017/11/04/ap-news-in-brief-at-1204-a-m-edt-73/,,English
NO,RS,CA,2017,11,5,680news.com,Belgium hopes to act on warrant for hiding Catalan leader,http://www.680news.com/2017/11/04/ex-catalan-leader-angling-to-stay-out-of-spanish-justice/,,English
