country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
NO,RS,NO,2017,11,13,gorodbryansk.info,Брянский  оссельхознадзор « завернул » 37 тонн лососевых хребтов,http://gorodbryansk.info/2017/11/rshn-367/,,Russian
NO,RS,NO,2017,11,10,vg-news.ru, оссийский агрокомплекс переживает бум и готов обеспечить себя и прокормить всю страну,http://vg-news.ru/n/131622,,Russian
NO,RS,NO,2017,10,27,russian.rt.com,Против серых поставок :  оссия расширила список попавших под продэмбарго товаров —  Т на русском,https://russian.rt.com/russia/article/443658-rossiya-rasshirila-prodembargo,https://cdni.rt.com/russian/images/2017.10/article/59f327ae370f2cc87d8b4583.jpg,Russian
NO,RS,NO,2017,11,9,russian.rt.com,Прокормить себя и накормить других : российское сельское хозяйство переживает настоящий бум —  Т на русском,https://russian.rt.com/russia/article/447576-rossiya-sankcii-selskoe-hozyaistvo,https://cdni.rt.com/russian/images/2017.11/article/5a03e676183561e56e8b4567.jpg,Russian
NO,RS,NO,2017,12,7,inosmi.ru, оссия : Продуктовое эмбарго не привело к импортозамещению ,http://inosmi.ru/economic/20171207/240949595.html,http://inosmi.ru/images/24095/03/240950311.jpg,Russian
NO,RS,NO,2017,10,12,primamedia.ru,XII Конгресс рыбаков во Владивостоке : диалог с властью и ноу,http://primamedia.ru/news/630086/,http://cdn2.primamedia.ru/f/main/1342/1341329.jpg?a571d9874fbc89732fe68759f51f4f9c,Russian
NO,RS,NO,2017,11,3,perm.kp.ru, оссия покупает за границей собственную рыбу,https://www.perm.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,ufa.kp.ru, оссия покупает за границей собственную рыбу,https://www.ufa.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,irk.kp.ru, оссия покупает за границей собственную рыбу,https://www.irk.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,saratov.kp.ru, оссия покупает за границей собственную рыбу,https://www.saratov.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,tumen.kp.ru, оссия покупает за границей собственную рыбу,https://www.tumen.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,yar.kp.ru, оссия покупает за границей собственную рыбу,https://www.yar.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,kirov.kp.ru, оссия покупает за границей собственную рыбу,https://www.kirov.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,vrn.kp.ru, оссия покупает за границей собственную рыбу,https://www.vrn.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,volgograd.kp.ru, оссия покупает за границей собственную рыбу,https://www.volgograd.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,dv.kp.ru, оссия покупает за границей собственную рыбу,https://www.dv.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,nsk.kp.ru, оссия покупает за границей собственную рыбу,https://www.nsk.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,alt.kp.ru, оссия покупает за границей собственную рыбу,https://www.alt.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,tver.kp.ru, оссия покупает за границей собственную рыбу,https://www.tver.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,izh.kp.ru, оссия покупает за границей собственную рыбу,https://www.izh.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,krsk.kp.ru, оссия покупает за границей собственную рыбу,https://www.krsk.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,nnov.kp.ru, оссия покупает за границей собственную рыбу,https://www.nnov.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,ural.kp.ru, оссия покупает за границей собственную рыбу,https://www.ural.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,kp.ru, оссия покупает за границей собственную рыбу,https://www.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,kazan.kp.ru, оссия покупает за границей собственную рыбу,https://www.kazan.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,rostov.kp.ru, оссия покупает за границей собственную рыбу,https://www.rostov.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,murmansk.kp.ru, оссия покупает за границей собственную рыбу,https://www.murmansk.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,pskov.kp.ru, оссия покупает за границей собственную рыбу,https://www.pskov.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,tula.kp.ru, оссия покупает за границей собственную рыбу,https://www.tula.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,stav.kp.ru, оссия покупает за границей собственную рыбу,https://www.stav.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,hab.kp.ru, оссия покупает за границей собственную рыбу,https://www.hab.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,amur.kp.ru, оссия покупает за границей собственную рыбу,https://www.amur.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,kaliningrad.kp.ru, оссия покупает за границей собственную рыбу,https://www.kaliningrad.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,penza.kp.ru, оссия покупает за границей собственную рыбу,https://www.penza.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,spb.kp.ru, оссия покупает за границей собственную рыбу,https://www.spb.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,2,chel.kp.ru, оссия покупает за границей собственную рыбу,https://www.chel.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,11,3,kem.kp.ru, оссия покупает за границей собственную рыбу,https://www.kem.kp.ru/daily/26752/3782124/,,Russian
NO,RS,NO,2017,10,27,kasparov.ru, оссия расширила продэмбарго ,http://www.kasparov.ru/material.php?id=59F313872EBD6,http://www.kasparov.ru/content/materials/201610/58133D691A577.jpg,Russian
NO,RS,NO,2017,10,5,xn--b1ae2adf4f.xn--p1ai,Высокие ставки : рыба может покинуть столы россиян,http://xn--b1ae2adf4f.xn--p1ai/economics/business/44454-vysokie-stavki-pyba-mozhet-pokinuty-stoly-possiyan.html,http://xn--b1ae2adf4f.xn--p1ai/media/k2/items/cache/be3ee4fb87f389d870cd72063df23835_L.jpg,Russian
NO,RS,NO,2017,12,13,argumenti.ru,Мировой тигровый бум,http://argumenti.ru/economics/2017/12/558196,http://argumenti.ru/images/arhnews/558196.jpg,Russian
NO,RS,NO,2017,12,18,kuban.kp.ru,Почему рыба в  оссии продается в три раза дороже реальной стоимости,https://www.kuban.kp.ru/daily/26771.5/3804695/,,Russian
NO,RS,NO,2017,12,19,kaliningrad.kp.ru,Почему рыба в  оссии продается в три раза дороже реальной стоимости,https://www.kaliningrad.kp.ru/daily/26771.5/3804695/,,Russian
NO,RS,NO,2017,12,19,samara.kp.ru,Почему рыба в  оссии продается в три раза дороже реальной стоимости,https://www.samara.kp.ru/daily/26771.5/3804695/,,Russian
NO,RS,NO,2017,12,19,chel.kp.ru,Почему рыба в  оссии продается в три раза дороже реальной стоимости,https://www.chel.kp.ru/daily/26771.5/3804695/,,Russian
NO,RS,NO,2017,12,19,saratov.kp.ru,Почему рыба в  оссии продается в три раза дороже реальной стоимости,https://www.saratov.kp.ru/daily/26771.5/3804695/,,Russian
NO,RS,NO,2017,12,19,kp.ru,Почему рыба в  оссии продается в три раза дороже реальной стоимости,https://www.kp.ru/daily/26771.5/3804695/,,Russian
NO,RS,NO,2017,12,18,penza.kp.ru,Почему рыба в  оссии продается в три раза дороже реальной стоимости,https://www.penza.kp.ru/daily/26771.5/3804695/,,Russian
