country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
RS,JA,RS,2017,10,25,langleyadvance.com,B . C . should learn from Norway ’ s example,http://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,http://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
RS,JA,RS,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,http://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
RS,JA,RS,2017,10,6,news1130.com,US Customs vows to block imports made by North Korea workers,http://www.news1130.com/2017/10/06/us-customs-vows-to-block-imports-made-by-north-korea-workers/,,English
RS,JA,RS,2017,10,6,680news.com,US Customs vows to block imports made by North Korea workers,http://www.680news.com/2017/10/06/us-customs-vows-to-block-imports-made-by-north-korea-workers/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/10/06/NY806-95_2017_052347_hd.jpg,English
RS,JA,RS,2017,10,25,langleyadvance.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.langleyadvance.com/opinion/b-c-should-learn-from-norways-example/,https://www.langleyadvance.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
RS,JA,RS,2017,10,25,cowichanvalleycitizen.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.cowichanvalleycitizen.com/opinion/b-c-should-learn-from-norways-example/,http://www.cowichanvalleycitizen.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
RS,JA,RS,2017,10,25,columbiavalleypioneer.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.columbiavalleypioneer.com/opinion/b-c-should-learn-from-norways-example/,https://www.columbiavalleypioneer.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
RS,JA,RS,2017,10,25,columbiavalleypioneer.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,http://www.columbiavalleypioneer.com/opinion/b-c-should-learn-from-norways-example/,http://www.columbiavalleypioneer.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
RS,JA,RS,2017,10,25,westerlynews.ca,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.westerlynews.ca/opinion/b-c-should-learn-from-norways-example/,https://www.westerlynews.ca/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
RS,JA,RS,2017,10,25,cowichanvalleycitizen.com,GUEST COLUMN : B . C . should learn from Norway ’ s example,https://www.cowichanvalleycitizen.com/opinion/b-c-should-learn-from-norways-example/,https://www.cowichanvalleycitizen.com/wp-content/uploads/2017/10/9092892_web1_20171025-BPD-North_Atlantic_Road_Norway-wikim.jpg,English
RS,JA,RS,2017,11,5,news1130.com,With tensions high , Trump , Abe strengthen bond on the links,http://www.news1130.com/2017/11/05/as-crisis-looms-trump-abe-strengthen-bond-on-the-links/,,English
RS,JA,RS,2017,11,5,680news.com,With tensions high , Trump , Abe strengthen bond on the links,http://www.680news.com/2017/11/05/as-crisis-looms-trump-abe-strengthen-bond-on-the-links/,,English
RS,JA,RS,2017,11,5,news1130.com,AP News in Brief at 12 : 04 a . m . EDT,http://www.news1130.com/2017/11/04/ap-news-in-brief-at-1204-a-m-edt-73/,,English
RS,JA,RS,2017,11,4,680news.com,Trump Asia trip presents a crucial international test,http://www.680news.com/2017/11/04/trumps-asia-trip-presents-crucial-international-test/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/11/17812458.jpg,English
RS,JA,RS,2017,11,5,680news.com,Trump Asia trip presents a crucial international test,http://www.680news.com/2017/11/04/trumps-asia-trip-presents-a-crucial-international-test/,,English
RS,JA,RS,2017,11,5,news1130.com,Insider Q & A : Market stability in uncertain times,http://www.news1130.com/2017/11/05/insider-qa-market-stability-in-uncertain-times/,,English
RS,JA,RS,2017,11,5,kelownadailycourier.ca,Trump Asia trip presents a crucial international test ,http://www.kelownadailycourier.ca/news/world_news/article_7eb25081-4dcb-5f2a-90e5-d9d862694e0d.html,https://bloximages.newyork1.vip.townnews.com/kelownadailycourier.ca/content/tncms/assets/v3/editorial/4/a3/4a3d75ec-110f-5f10-a5de-882a180366c6/59fe46a33d5ba.image.jpg,English
RS,JA,RS,2017,11,5,news1130.com,Melania Trump visits Mikimoto , Japan famed pearl retailer,http://www.news1130.com/2017/11/05/melania-trump-visits-mikimoto-japans-famed-pearl-retailer/,,English
RS,JA,RS,2017,11,4,news1130.com,Trump Asia trip presents a crucial international test,http://www.news1130.com/2017/11/04/trumps-asia-trip-presents-a-crucial-international-test/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/04/HIAH103-114_2017_181253_hd.jpg,English
RS,JA,RS,2017,11,4,680news.com,U . S . cell phone giants Sprint , T,http://www.680news.com/2017/11/04/u-s-cell-phone-giants-sprint-t-mobile-end-merger-talks/,http://www.680news.com/wp-content/blogs.dir/sites/2/2017/11/sprint.jpg,English
