country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
RS,NO,CH,2017,12,18,sysla.no,Gode tider i fiskeriene,https://sysla.no/fisk/gode-tider-fiskeriene/,https://img1.sysla.no/wp-content/uploads/makrellfiske.jpg,Norwegian
RS,NO,CH,2017,11,3,intrafish.no,Lerøy med ny merkevare , kineserne vil ha mer egen lakseoppdrett,http://www.intrafish.no/blogg/1374484/leroy-med-ny-merkevare-kineserne-vil-ha-mer-egen-lakseoppdrett,http://www.intrafish.no//static/theme/intrafish/base/gfx/fb/intrafish.png,English
RS,NO,CH,2017,10,22,adressa.no,No,http://www.adressa.no/meninger/kommentarer/2017/10/22/No-fish-Sandberg-setter-sj%C3%B8bein-15481728.ece,http://www.adressa.no/meninger/kommentarer/article15481726.ece/9s5v4q/ALTERNATES/w980-default/SANDBERG3,Norwegian
RS,NO,CH,2017,11,22,intrafish.no,Neste stopp : VM i akvakultur,http://www.intrafish.no/fou/1387159/neste-stopp-vm-i-akvakultur,http://www.intrafish.no/nyheter/article1387170.ece5/ALTERNATES/LANDSCAPE_600/cdb6e5e6570e1973db96aa35e53fa5a3,Norwegian
RS,NO,CH,2017,11,24,hegnar.no,Storsalg av lakseaksjer på Black Friday,http://www.hegnar.no/Nyheter/Boers-finans/2017/11/Storsalg-av-lakseaksjer-paa-Black-Friday,http://www.hegnar.no/var/hegnar/storage/images/2/7/8/3/1783872-1-nor-NO/44580_binary_55533_full_article.jpg,Norwegian
RS,NO,CH,2017,12,20,abcnyheter.no,,https://www.abcnyheter.no/nyheter/politikk/2017/12/20/195357672/vi-skal-passe-pa-ikke-egenarten-til-frp-forsvinner,https://presizely.abcmedia.no/972x,q75,prog,adsh/https://abcnyheter.drpublish.aptoma.no/out/images/article//2017/12/20/195357673/1/original/4550953.jpg,Norwegian
RS,NO,CH,2017,12,20,dagsavisen.no,,http://www.dagsavisen.no/innenriks/jeg-er-aldeles-ikke-kontroversiell-1.1073608,http://www.dagsavisen.no/polopoly_fs/1.1073609.1513716983!/image/image.jpg_gen/derivatives/169_1200_630/image.jpg,Norwegian
RS,NO,CH,2017,12,20,dagsavisen.no,,http://www.dagsavisen.no/rogalandsavis/jeg-er-aldeles-ikke-kontroversiell-1.1073632,http://www.dagsavisen.no/polopoly_fs/1.1073609.1513716983!/image/image.jpg_gen/derivatives/169_1200_630/image.jpg,Norwegian
RS,NO,CH,2017,11,29,hegnar.no,Børsoppgang , men laksesmell,http://www.hegnar.no/Nyheter/Boers-finans/2017/11/Boersoppgang-men-laksesmell,http://www.hegnar.no/var/hegnar/storage/images/media/images/scanpix-oslo-boers-kveld/4927755-1-nor-NO/scanpix-oslo-boers-kveld_full_article.jpg,Norwegian
RS,NO,CH,2017,11,29,hegnar.no,Hydro,http://www.hegnar.no/Nyheter/Boers-finans/2017/11/Hydro-rally-paa-boersen-OPEC-tvil-senker-oljen,http://www.hegnar.no/var/hegnar/storage/images/media/images/fa-svein-richard-brandtzaeg/19351452-1-nor-NO/fa-svein-richard-brandtzaeg_full_article.jpg,Norwegian
RS,NO,CH,2017,12,31,itromso.no, « Hvem i alle dager skal jeg stemme på ?» ,http://www.itromso.no/nyheter/politikk/2017/09/09/%C2%ABHvem-i-alle-dager-skal-jeg-stemme-p%C3%A5%C2%BB-15279009.ece,http://www.itromso.no/nyhet/article15279010.ece/5wq5ri/ALTERNATES/w980-default/09kulKlaudius2.jpg,Norwegian
RS,NO,CH,2017,10,27,hegnar.no,Ny rekord på børsen,http://www.hegnar.no/Nyheter/Boers-finans/2017/10/Ny-rekord-paa-boersen,http://www.hegnar.no/var/hegnar/storage/images/media/images/scanpix-oslo-boers-hoest/15227368-1-nor-NO/scanpix-oslo-boers-hoest_full_article.jpg,Norwegian
RS,NO,CH,2017,10,12,hegnar.no,Laks viste vei på rekordbørsen,http://www.hegnar.no/Nyheter/Boers-finans/2017/10/Laks-viste-vei-paa-rekordboersen,http://www.hegnar.no/var/hegnar/storage/images/media/images/fa-oslo-boers-sol-ny/18046358-1-nor-NO/fa-oslo-boers-sol-ny_full_article.jpg,Norwegian
RS,NO,CH,2017,10,27,hegnar.no,Børsen mot ny rekord,http://www.hegnar.no/Nyheter/Boers-finans/2017/10/Boersen-mot-ny-rekord,http://www.hegnar.no/var/hegnar/storage/images/0/3/8/5/2105830-1-nor-NO/61316_binary_567669_full_article.jpg,Norwegian
