country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
US,CI,CH,2017,10,12,lapresse.ca,Des Québécois auraient mangé du saumon transgénique  leur insu ,http://www.lapresse.ca/actualites/201710/11/01-5139709-des-quebecois-auraient-mange-du-saumon-transgenique-a-leur-insu.php,http://images.lpcdn.ca/924x615/201710/11/1482538-entreprise-americaine-aquabounty-eleve-saumons.jpg,French
US,CI,CH,2017,11,12,windsorstar.com,Chinese spend billions shopping online on ‘ Singles Day ’ ,http://windsorstar.com/pmn/business-pmn/chinese-spend-billions-online-shopping-on-singles-day/wcm/e1ca51f4-b51d-4cfb-896a-2bd0c164784e,https://postmediawindsorstar2.files.wordpress.com/2017/11/xhg101-ap.jpg,English
US,CI,CH,2017,11,11,vancouversun.com,Chinese spend billions shopping online on ‘ Singles Day ’ ,http://vancouversun.com/pmn/business-pmn/chinese-spend-billions-online-shopping-on-singles-day/wcm/a1ef0787-618c-4bd4-b465-3db2acc97d52,https://postmediavancouversun2.files.wordpress.com/2017/11/xhg101-ap.jpg,English
US,CI,CH,2017,11,11,theprovince.com,Chinese spend billions shopping online on  Singles Day  ,http://www.theprovince.com/business/chinese+spend+billions+online+shopping+singles/15637009/story.html,http://www.theprovince.com/cms/binary/15637010.jpg,English
US,CI,CH,2017,11,13,cbc.ca,Alibaba sells more than $25B US on  Singles Day  more than Black Friday & Cyber Monday,http://www.cbc.ca/news/business/alibaba-singles-day-1.4400105,https://i.cbc.ca/1.4400120.1510588925!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_1180/china-online-shopping.jpg,English
US,CI,CH,2017,11,5,news1130.com,  Thor : Ragnarok  rumbles to $121M box,http://www.news1130.com/2017/11/05/thor-ragnarok-rumbles-to-121m-box-office-debut/,http://www.news1130.com/wp-content/blogs.dir/sites/9/2017/11/05/NYET522-1019_2017_152956_hd.jpg,English
US,CI,CH,2017,10,11,castanet.net,Huge pipes to move water,http://www.castanet.net/edition/news-story-208837-5-.htm,http://www.castanet.net/content/2017/10/la215-225_2016_223810_p3256111_p3256133.jpg,English
US,CI,CH,2017,10,11,castanet.net,$5 billion for Puerto Rico,http://www.castanet.net/edition/news-story-208838-5-.htm,http://www.castanet.net/content/2017/10/xre102-109_2017_203848_p3256135_p3256136.jpg,English
US,CI,CH,2017,10,11,castanet.net,  Disgusted  by Weinstein,http://www.castanet.net/edition/news-story-208839-5-.htm,http://www.castanet.net/content/2017/10/wx104-65_2017_223505_p3256112_p3256137.jpg,English
US,CI,CH,2017,10,11,castanet.net,Prof . on leave over tweets,http://www.castanet.net/edition/news-story-208842-5-.htm,http://www.castanet.net/content/2017/10/screen_shot_2017-10-10_at_9.13.55_pm_p3256138.jpg,English
US,CI,CH,2017,10,11,castanet.net,Kim murder was rehearsed,http://www.castanet.net/edition/news-story-208843-5-.htm,http://www.castanet.net/content/2017/10/screen_shot_2017-10-10_at_9.43.31_pm_p3256139.jpg,English
US,CI,CH,2017,10,11,castanet.net,Trump : demand they stand,http://www.castanet.net/edition/news-story-208874-5-.htm,http://www.castanet.net/content/2017/10/NAS115-108_2017_125851_p3256170.jpg,English
US,CI,CH,2017,10,11,castanet.net,Shooter timeline questioned,http://www.castanet.net/edition/news-story-208848-5-.htm,http://www.castanet.net/content/2017/10/LA116-103_2017_232814_p3256183.jpg,English
US,CI,CH,2017,10,12,castanet.net,Trump threatens NBC,http://www.castanet.net/edition/news-story-208919-5-.htm,http://www.castanet.net/content/2017/10/NYBZ322-510_2017_151654_p3256311.jpg,English
US,CI,CH,2017,10,11,castanet.net,Dreams reduced to embers,http://www.castanet.net/edition/news-story-208875-5-.htm,http://www.castanet.net/content/2017/10/CAJC119-1010_2017_213909_p3256196.jpg,English
US,CI,CH,2017,10,11,castanet.net,Chance to stop shooter ?,http://www.castanet.net/edition/news-story-208879-5-.htm,http://www.castanet.net/content/2017/10/NVJL208-1010_2017_001033_p3256247.jpg,English
