country1,country2,sourceCountry,year,month,day,domain,title,url,social_image,language
US,CI,RS,2017,12,15,soychile.cl,Chile e Indonesia firmaron acuerdo de libre comercio,http://www.soychile.cl/Santiago/Economia-y-Negocios/2017/12/14/505512/Chile-e-Indonesia-firman-acuerdo-de-libre-comercio.aspx,http://img.soy-chile.cl/Fotos/2017/12/14/file_20171214194252.jpg,Spanish
US,CI,RS,2017,12,15,eleconomistaamerica.cl,Chile e Indonesia firman Acuerdo Económico Comprehensivo,http://www.eleconomistaamerica.cl/economia-eAm-chile/noticias/8813758/12/17/Chile-e-Indonesia-firman-Acuerdo-Economico-Comprehensivo.html,http://s03.s3c.es/imag/_v0/770x518/e/d/5/600x400_chileeindonesia.png,Spanish
US,CI,RS,2017,10,19,elmostrador.cl,Comunidad croata se reúne a fin de mes en Chile en la Díaspora Croata Sudamericana,http://www.elmostrador.cl/noticias/pais/2017/10/19/comunidad-croata-se-reune-a-fin-de-mes-en-chile-en-la-diaspora-croata-sudamericana/,http://www.elmostrador.cl/media/2017/10/bandera-croacia-Croatia-flag_600x315.jpg,Spanish
US,CI,RS,2017,11,25,latercera.com,China rebaja arancel para casi 200 productos importados,http://www.latercera.com/noticia/china-rebaja-arancel-casi-200-productos-importados/,http://d2vpb0i3hb2k8a.cloudfront.net/wp-content/uploads/sites/7/2017/11/25/ChinaWEB.jpg,Spanish
US,CI,RS,2017,10,10,economiaynegocios.cl,EyN :  Trabajamos en revisar y perfeccionar los procesos de fiscalización en materia sanitaria para prestigiar los productos del mar  ,http://www.economiaynegocios.cl/noticias/noticias.asp?id=405717,,Spanish
US,CI,RS,2017,12,6,elmostrador.cl,La gratuidad no es un lucro político,http://www.elmostrador.cl/noticias/opinion/2017/12/06/la-gratuidad-no-es-un-lucro-politico/,,Spanish
US,CI,RS,2017,11,3,biobiochile.cl,Realizan el primer embarque de salmón desde la región del Bío Bío a Miami,http://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2017/11/03/realizan-el-primer-embarque-de-salmon-desde-la-region-del-bio-bio-a-miami.shtml,https://media.biobiochile.cl/wp-content/uploads/2017/11/envio-salmon-730x350.jpeg,Spanish
US,CI,RS,2017,10,15,elciudadano.cl,El Ciudadano » Autoridades y empresarios nacionales inician una visita de cinco días a Japón,http://www.elciudadano.cl/economia/autoridades-y-empresarios-nacionales-inician-una-visita-de-cinco-dias-a-japon/10/15/,http://www.elciudadano.cl/wp-content/uploads/2017/10/tokio-2.jpg,Spanish
US,CI,RS,2017,10,9,eleconomistaamerica.cl,La pesca y la acuicultura chilenas surcan  los siete mares  ,http://www.eleconomistaamerica.cl/empresas-eAm-chile/noticias/8662015/10/17/La-pesca-y-la-acuicultura-chilenas-surcan-los-siete-mares.html,http://s03.s3c.es/imag/_v0/770x420/5/8/d/600x400_pesca_barco_pesquero_afp.jpg,Spanish
US,CI,RS,2017,10,14,latercera.com,Resistencia antibiótica : Enemigo al acecho,http://www.latercera.com/noticia/resistencia-antibiotica-enemigo-al-acecho/,http://d2vpb0i3hb2k8a.cloudfront.net/wp-content/uploads/sites/7/2017/10/13/montaje-web.jpg,Spanish
US,CI,RS,2017,11,3,pulso.cl,Our long chilean boom,http://www.pulso.cl/trader/our-long-chilean-boom/,,Spanish
US,CI,RS,2017,11,19,latercera.com,Robert Kennedy Jr por Hidroaysén :  Los beneficios económicos eran para unos pocos millonarios  ,http://www.latercera.com/noticia/robert-kennedy-jr-los-beneficios-economicos-unos-millonarios/,http://d2vpb0i3hb2k8a.cloudfront.net/wp-content/uploads/sites/7/2017/11/18/robertkennedyjrWEB.jpg,Spanish
US,CI,RS,2017,10,25,ciperchile.cl,El mundo no tan verde de las multinacionales del medioambiente,http://ciperchile.cl/2017/10/25/el-mundo-no-tan-verde-de-las-multinacionales-del-medioambiente/,,Spanish
