country1,country2,sourceCountry,frequency,norm,year,month,day
NO,SW,CA,0,427906,2017,1,1
NO,SW,CA,0,592774,2017,1,2
NO,SW,CA,0,757916,2017,1,3
NO,SW,CA,0,822862,2017,1,4
NO,SW,CA,0,830028,2017,1,5
NO,SW,CA,0,766969,2017,1,6
NO,SW,CA,0,520691,2017,1,7
NO,SW,CA,0,488784,2017,1,8
NO,SW,CA,0,813487,2017,1,9
NO,SW,CA,0,884856,2017,1,10
NO,SW,CA,0,879968,2017,1,11
NO,SW,CA,0,873198,2017,1,12
NO,SW,CA,0,847105,2017,1,13
NO,SW,CA,0,538257,2017,1,14
NO,SW,CA,0,485270,2017,1,15
NO,SW,CA,0,778396,2017,1,16
NO,SW,CA,0,872725,2017,1,17
NO,SW,CA,0,903497,2017,1,18
NO,SW,CA,0,897136,2017,1,19
NO,SW,CA,0,840244,2017,1,20
NO,SW,CA,0,542714,2017,1,21
NO,SW,CA,0,507306,2017,1,22
NO,SW,CA,0,816816,2017,1,23
NO,SW,CA,0,882520,2017,1,24
NO,SW,CA,0,888646,2017,1,25
NO,SW,CA,0,850165,2017,1,26
NO,SW,CA,0,814253,2017,1,27
NO,SW,CA,0,540104,2017,1,28
NO,SW,CA,0,492134,2017,1,29
NO,SW,CA,0,800343,2017,1,30
NO,SW,CA,0,866957,2017,1,31
NO,SW,CA,0,877514,2017,2,1
NO,SW,CA,0,878535,2017,2,2
NO,SW,CA,0,849054,2017,2,3
NO,SW,CA,0,547610,2017,2,4
NO,SW,CA,0,489387,2017,2,5
NO,SW,CA,0,810397,2017,2,6
NO,SW,CA,0,886593,2017,2,7
NO,SW,CA,0,908408,2017,2,8
NO,SW,CA,0,895654,2017,2,9
NO,SW,CA,0,851022,2017,2,10
NO,SW,CA,0,535178,2017,2,11
NO,SW,CA,0,501551,2017,2,12
NO,SW,CA,0,828201,2017,2,13
NO,SW,CA,0,888105,2017,2,14
NO,SW,CA,0,902442,2017,2,15
NO,SW,CA,0,899621,2017,2,16
NO,SW,CA,0,845037,2017,2,17
NO,SW,CA,0,546303,2017,2,18
NO,SW,CA,0,492129,2017,2,19
NO,SW,CA,0,770453,2017,2,20
NO,SW,CA,0,863510,2017,2,21
NO,SW,CA,0,896676,2017,2,22
NO,SW,CA,0,882237,2017,2,23
NO,SW,CA,0,831927,2017,2,24
